Unnamed: 0,Port(s),Protocol,Service,Details,Source
1,1080,tcp,socks,"Socks Proxy is an Internet proxy service, potential spam relay point.Common programs using this port: WingateTrojans/worms that use this port as well:Bugbear.xx [Symantec-2003-060423-5844-99] - wide-spread mass-mailing worm, many variants.SubSeven - remote access trojan, 03.2001. Afects all current Windows versions.WinHole - remote access trojan, 01.2000 (a.k.a. WinGate, Backdoor.WLF, BackGate). Affects Windows 9x.Trojan.Webus.C [Symantec-2004-101212-0903-99] - remote access trojan, 10.12.2004. Affects all current Windows versions. Connects to an IRC server (on port 8080) and opens a backdoor on TCP port 10888 or 1080.Mydoom.B [Symantec-2004-012816-3647-99] (2004.01.28) - mass-mailing worm that opens a backdoor into the system. The backdoor makes use of TCP ports 80, 1080, 3128, 8080, and 10080.Backdoor.Lixy [Symantec-2003-100816-5051-99] (2003.10.08) - a backdoor trojan horse that opens a proxy server on TCP port 1080.W32.HLLW.Deadhat [Symantec-2004-020619-0805-99] (2004.02.06) - a worm with backdoor capabilities. It attempts to uninstall the W32.Mydoom.A@mm and W32.Mydoom.B@mm worms, and then it spreads to other systems infected with Mydoom. Also, it spreads through the Soulseek file-sharing program.WinHole, Wingate, Bagle.AI trojans also use this port.Buffer overflows in AnalogX Proxy before 4.12 allows remote attackers to cause a denial of service and possibly execute arbitrary code via a long HTTP request to TCP port 6588 or a SOCKS 4A request to TCP port 1080 with a long DNS hostname.References: [CVE-2002-1001] [BID-5139]Buffer overflow in Avirt Voice 4.0 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via a long GET request on port 1080.References: [CVE-2004-0315] [BID-9721]HEUR.Backdoor.Win32.Generic / Unauthenticated Open Proxy - the backdoor creates a Windows service backed by an executable named ""1314.exe"", it lives under C:\WINDOWS and listens on TCP ports 1080 and 8080. Third-party adversaries who can connect to the infected system can relay requests from the original connection to the destination and then back to the origination system. Attackers may then be able to launch attacks, download files or port scan third party systems and it will appear as the attacks originated from that infected host. The relay does notrequire authentication or any special User-agent check and leverages the HTTP Host header in the request to connect to third-party systems.References: [MVID-2021-0176]Backdoor.Win32.Small.gs / Unauthenticated Remote Command Execution - the malware listens on TCP port 1080. Third-party attackers who can reach infected systems can execute OS commands and or run arbitrary programs.References: [MVID-2021-0336]Backdoor.Win32.Agent.aer / Remote Denial of Service - the malware listens on TCP port 1080. Third-party attackers who can reach infected systems can send a specially crafted junk payload for the logon credentials to trigger an exception and crash.References: [MVID-2021-0346]",SG
2,1080,tcp,,SOCKS proxy (official),Wikipedia
3,1080,tcp,trojan,"SubSeven 2.2, WinHole",Trojans
4,1080,"tcp,udp",socks,Proxy Server,SANS
5,"1080,2086","tcp,udp",applications,GNUnet,Portforward
6,1080,tcp,SubSeven2.2,[trojan] SubSeven 2.2,Neophasis
7,1080,tcp,WinHole,[trojan] WinHole,Neophasis
8,1080,tcp,threat,Lixy,Bekkoame
9,1080,tcp,threat,Mydoom,Bekkoame
10,1080,tcp,threat,W32.Beagle,Bekkoame
11,1080,tcp,threat,W32.HLLW.Deadhat,Bekkoame
12,1080,tcp,threat,Webus,Bekkoame
13,1080,tcp,threat,WinHole,Bekkoame
14,1080,"tcp,udp",socks,Socks,IANA
1,1081,tcp,trojans,Backdoor.Zagaban [Symantec-2005-110314-5204-99] (2005.11.03) - a trojan that allows the compromised computer to be used as a covert proxy. Allows the attacker to modify the hosts file. Starts a covert proxy and listens on port 1081/tcp.WinHole trojan also uses port 1081.,SG
2,1081,tcp,trojan,[trojan] WinHole,Trojans
3,1081,tcp,WinHole,[trojan] WinHole,SANS
4,1081,tcp,threat,Zagaban,Bekkoame
5,1081,"tcp,udp",pvuniwien,PVUNIWIEN,IANA
1,1082,tcp,trojan,"Backdoor.Sincom [Symantec-2003-100909-4135-99] (2003.10.09) - a backdoor trojan horse that gives the trojan's author unauthorized access to an infected computer. It allows the author to control the system through a TCP connection, through an FTP server, or have the backdoor program reconnect to the attacker's computer.WinHole trojanPort is IANA registered for: AMT-ESD-PROT",SG
2,1082,tcp,trojan,[trojan] WinHole,Trojans
3,1082,tcp,WinHole,[trojan] WinHole,SANS
4,1082,"tcp,udp",amt-esd-prot,AMT-ESD-PROT,IANA
1,1083,tcp,trojan,WinHole trojan,SG
2,1083,tcp,trojan,[trojan] WinHole,Trojans
3,1083,tcp,WinHole,[trojan] WinHole,SANS
4,1083,"tcp,udp",ansoft-lm-1,Anasoft License Manager,IANA
1,1084,"tcp,udp",ansoft-lm-2,Anasoft License Manager,IANA
1,1085,"tcp,udp",,WebObjects (official),Wikipedia
2,1085,"tcp,udp",webobjects,Web Objects,IANA
1,1086,"tcp,udp",cplscrambler-lg,CPL Scrambler Logging,IANA
1,1087,"tcp,udp",cplscrambler-in,CPL Scrambler Internal,IANA
1,1088,tcp,trojans,"Trojan.Webus.D [Symantec-2004-111216-2213-99] (2004.11.12) - remote access trojan, affects all current Windows versions. Opens a backdoor by connecting via port 1088 to IRC servers serv.gigaset.org or gimp.robobot.org. It then can receive a range of commands, including downloading and executing remote files. It can also open another random tcp port for incoming connections.Trojan.Webus.E [Symantec-2005-040511-3347-99] (2005.04.05) - trojan that opens a backdoor and connects to IRC servers for remote access on port 1088/tcp.Trojan.Webus.H [Symantec-2005-070318-0714-99] (2005.07.03) - trojan horse with backdoor capabilities. It attempts to disable anti-virus programs, connects to an IRC server on ports 1021/tcp or 1088/tcp, and listens for remote commands.",SG
2,1088,tcp,threat,Webus,Bekkoame
3,1088,"tcp,udp",cplscrambler-al,CPL Scrambler Alarm Log,IANA
1,1089,tcp,malware,Trojan-Proxy.Win32.Delf.ai / Remote SEH Buffer Overflow - the malware listens on TCP port 1089. Attackers who can reach the infected system can send a specially crafted HTTP TRACE request to trigger a classic SEH buffer overflow.References: [MVID-2021-0115],SG
2,1089,"tcp,udp",ff-annunc,FF Annunciation,IANA
1,1090,tcp,trojans,"Port used by Xtreme remote access trojan with keylogger capabilities. It also installs NetBus 2.1 Pro in the background.Jana Server is vulnerable to a denial of service attack. A remote attacker could send specially-crafted data to the http-server module listening on TCP port 2506 and the pna-proxy module listening on TCP port 1090 to cause the server to enter into an infinite loop.References: [BID-11780], [XFDB-18308]Port is also IANA registered for FF Fieldbus Message Specification (TCP/UDP)",SG
2,1090,tcp,Xtreme,[trojan] Xtreme,SANS
3,1090,"tcp,udp",ff-fms,FF Fieldbus Message Specification,IANA
1,1091,"tcp,udp",ff-sm,FF System Management,IANA
1,1092,tcp,trojan,Hvl RAT,SG
2,1092,tcp,trojan,Hvl RAT,Trojans
3,1092,"tcp,udp",obrpd,OBRPD,SANS
4,1092,tcp,threat,Lovgate,Bekkoame
5,1092,"tcp,udp",obrpd,Open Business Reporting Protocol,IANA
1,1170,tcp,trojans,"W32/Colevo@MM- mass mailing worm which harvests MSN Messenger contact addresses with backdoor capability, 6.28.2003. It opens ports 1168-1170 and 2536.Psyber Streaming Server (PSS) - remote access trojan, uses ports 1170, 1509, 4000.Streaming Audio Trojan, Voice (TCP)",SG
2,1170,tcp,trojan,"Psyber Stream Server , Voice",Trojans
3,1170,tcp,PsyberStreamServer,[trojan] Psyber Stream Server,SANS
4,1170,tcp,PsyberStreamServer,[trojan] Psyber Stream Server - PSS,SANS
5,1170,tcp,StreamingAudioServer,[trojan] Streaming Audio Server,SANS
6,1170,tcp,Voice,[trojan] Voice,SANS
7,1170,tcp,,"Psyber Stream Server PSS, Streaming Audio Server, Voice",Bekkoame
8,1170,"tcp,udp",atc-lm,"AT+C License Manager, registered 2004-02",IANA
1,1171,"tcp,udp",atc-appserver,"AT+C FmiApplicationServer, registered 2004-02",IANA
1,1172,"tcp,udp",dnap,"DNA Protocol, registered 2004-11",IANA
1,1173,"tcp,udp",d-cinema-rrp,"D-Cinema Request-Response, registered 2004-11",IANA
1,1174,tcp,trojan,DaCryptic,SG
2,1174,tcp,DaCryptic,[trojan] DaCryptic,SANS
3,1174,"tcp,udp",fnet-remote-ui,"FlashNet Remote Admin, registered 2004-11",IANA
1,1175,"tcp,udp",dossier,"Dossier Server, registered 2004-11",IANA
1,1176,tcp,indigo-server,Perceptive Automation Indigo Home automation server (IANA official),SG
2,1176,tcp,,Perceptive Automation Indigo Home automation server (official),Wikipedia
3,1176,"tcp,udp",indigo-server,"Indigo Home Server, registered 2004-11",IANA
1,1177,tcp,njrat,"njRAT malware default port. The njRAT (remote access tool) can remotely access and control a victim's machine, operate the webcam, log keystrokes, steal credentials stored in browsers, upload and download files, and update itself. It is widely used in the Middle East, and known to be used for cybercriminal activity. njRAT is known to use over 500 control servers and operates over 24,000 infected computers worldwide.",SG
2,1177,"tcp,udp",dkmessenger,"DKMessenger Protocol, registered 2004-11",IANA
1,1178,tcp,skkserv,SKK (kanji input),SANS
2,1178,tcp,skkserv,SKK (kanji input),Nmap
3,1178,"tcp,udp",sgi-storman,"SGI Storage Manager, registered 2004-11",IANA
1,1179,"tcp,udp",b2n,"Backup To Neighbor, registered 2004-11",IANA
1,1180,tcp,trojan,Unin68,SG
2,1180,tcp,trojan,[trojan] Unin68,Trojans
3,1180,tcp,Unin68,[trojan] Unin68,SANS
4,1180,"tcp,udp",mc-client,Millicent Client Proxy,IANA
1,1181,udp,games,Heroes of Might and Magic IV,SG
2,1181,"tcp,udp",3comnetman,"3Com Net Management, registered 2004-11",IANA
1,1182,udp,accelenet-data,Heroes of Might and Magic IVIANA registered for: AcceleNet Data,SG
2,1182,tcp,accelenet,IANA registered for: AcceleNet Control,SG
3,1182,"tcp,udp",,AcceleNet Intelligent Transfer Protocol (official),Wikipedia
4,1182,tcp,accelenet,AcceleNet Control,IANA
5,1182,udp,accelenet-data,"AcceleNet Data, registered 2010-09-10",IANA
1,1183,"tcp,udp",trojans,"Balistix is a backdoor Trojan affecting Microsoft Windows operating systems. The backdoor uses a client/server relationship, where the server component is installed in the victim's system and the remote attacker has control of the client. The server attempts to open a port, typically TCP port 1183, to allow the client system to connect. Balistix could allow a remote attacker to gain unauthorized access to the system.References: [XFDB-15148]Trojans that also use this port:  Cyn, SweetHeart",SG
2,1183,"tcp,udp",trojan,"Cyn, SweetHeart",Trojans
3,1183,tcp,laplink-ssl,LapLink Surf-up SSL,SANS
4,1183,"tcp,udp",llsurfup-http,LL Surfup HTTP,IANA
1,1184,tcp,laplink,IANA registered for: LapLink Surf-upAlso used by: Allen-Bradley/Rockwell automation CIP messaging (PCcontroller),SG
2,1184,tcp,laplink,LapLink Surf-up,SANS
3,1184,"tcp,udp",llsurfup-https,LL Surfup HTTPS,IANA
1,1185,"tcp,udp",catchpole,"Catchpole port, registered 2002-03",IANA
1,1186,"tcp,udp",mysql-cluster,"MySQL Cluster Manager, registered 2004-11",IANA
1,1187,"tcp,udp",alias,"Alias Service, registered 2004-11",IANA
1,1188,"tcp,udp",hp-webadmin,HP Web Admin,IANA
1,1189,"tcp,udp",unet,"Unet Connection, registered 2004-11",IANA
1,1190,"tcp,udp",commlinx-avl,"CommLinx GPS / AVL System, registered 2004-11",IANA
1,1191,"tcp,udp",gpfs,"General Parallel File System, registered 2004-11",IANA
1,1192,tcp,threat,Lovgate,Bekkoame
2,1192,"tcp,udp",caids-sensor,"caids sensors channel, registered 2004-11",IANA
1,1193,"tcp,udp",fiveacross,"Five Across Server, registered 2004-11",IANA
1,1194,"tcp,udp",openvpn,"OpenVPN (Virtual Private Networking) - it is newer, secure form of VPN that uses open-source technologies and is preferable to PPTP and L2TP. OpenVPN uses the OpenSSL encryption library and SSL v3/TLS v1 protocols. It listens on port 1194/UDP by default. However, it can be configured to run on any port, like 443/TCP that makes it undistinguishable from HTTPS traffic, for example.Ooma VoIP service sets a VPN to the Ooma servers on port 1194 UDP for call setup/control. It also uses ports 49000-50000 for actual VoIP data. Other ports used: UDP 3480, UDP 514, TCP 443QNAP NAS uses port 1194 UDP for OpenVPN connections. QNAP also uses the following ports: 873,8081,8899,1723,13131,20001.",SG
2,1194,"tcp,udp",,OpenVPN (official),Wikipedia
3,1194,"tcp,udp",openvpn,"OpenVPN, registered 2004-11",IANA
1,1195,"tcp,udp",rsf-1,"RSF-1 clustering, registered 2004-11",IANA
1,1196,"tcp,udp",netmagic,"Network Magic, registered 2005-08",IANA
1,1197,"tcp,udp",carrius-rshell,"Carrius Remote Access, registered 2005-08",IANA
1,1198,"tcp,udp",cajo-discovery,IANA registered for: cajo reference discovery,SG
2,1198,"tcp,udp",,The cajo project Free dynamic transparent distributed computing in Java (official),Wikipedia
3,1198,"tcp,udp",cajo-discovery,"cajo reference discovery, registered 2005-08",IANA
1,1199,"tcp,udp",dmidi,"DMIDI, registered 2002-02",IANA
1,1200,udp,trojan,"NoBackO trojanHalf Life 2 Steam, Steam Friends Applet, Day of Defeat (TCP/UDP), Counter Strike, Team Fortress 2 also use this port.IANA registered for: SCOL (TCP/UDP)",SG
2,1200,tcp,malware,"Trojan-Dropper.Win32.Small.fp / Unauthenticated Open Proxy - the malware listens on random TCP ports like 2904, 1200 etc. Third-party attackers who can connect to the infected system can relay requests from the original connection to the destination and then back to the origination system. Attackers may then be able to launch attacks, download files or port scan third party systems and it will appear as the attacks originated from that infected host.References: [MVID-2021-0312]",SG
3,1200,"tcp,udp",,"scol, protocol used by SCOL 3D virtual worlds server to answer world name resolution client request (official)",Wikipedia
4,1200,udp,,Steam Friends Applet (unofficial),Wikipedia
5,1200,udp,trojan,[trojan] NoBackO,Trojans
6,1200,udp,NoBackO,[trojan] NoBackO,SANS
7,"1200,27000-27015",udp,applications,Counter Strike,Portforward
8,"1200,27000-27015",udp,applications,Day of Defeat Source,Portforward
9,"1200,27000-27015",udp,applications,Half Life 2 Steam,Portforward
10,"1200,27000-27015",udp,applications,Half Life Steam,Portforward
11,1200,"tcp,udp",scol,SCOL,IANA
1,1201,udp,trojan,NoBackO trojan,SG
2,1201,tcp,trojans,Backdoor.actx [Symantec-2002-052316-2753-99] (2002.05.23) - a Backdoor.Trojan which can allow unauthorized access to your computer.,SG
3,1201,udp,trojan,[trojan] NoBackO,Trojans
4,1201,"tcp,udp",nucleus-sand,Nucleus Sand,SANS
5,1201,udp,NoBackO,[trojan] NoBackO,SANS
6,1201,"tcp,udp",nucleus-sand,Nucleus Sand Database Server,IANA
1,1202,"tcp,udp",caiccipc,caiccipc,IANA
1,1203,"tcp,udp",ssslic-mgr,License Validation,IANA
1,1204,"tcp,udp",ssslog-mgr,Log Request Listener,IANA
1,1205,"tcp,udp",accord-mgc,Accord-MGC,IANA
1,1206,"tcp,udp",anthony-data,Anthony Data,IANA
1,1207,"tcp,udp",trojan,SoftWAR trojanCommandos 3: Destination Berlin also uses this port (UDP).,SG
2,1207,tcp,trojan,[trojan] SoftWAR,Trojans
3,1207,tcp,SoftWAR,[trojan] SoftWAR,SANS
4,1207,"tcp,udp",metasage,MetaSage,IANA
1,1208,tcp,trojans,"Infector trojan, 04,1999. Affects Windows 9x (ICQ). Uses ports 146, 1208, 17569, 24000, 30000",SG
2,1208,tcp,trojan,[trojan] Infector,Trojans
3,1208,tcp,Infector,[trojan] Infector,SANS
4,1208,"tcp,udp",seagull-ais,SEAGULL AIS,IANA
1,1209,"tcp,udp",ipcd3,IPCD3,IANA
1,1210,"tcp,udp",eoss,EOSS,IANA
1,1211,"tcp,udp",groove-dpp,"Groove DPPCoDeSys Gateway Server is vulnerable to a heap-based buffer overflow, caused by the failure to check for a signed value. By sending a specially-crafted packet to TCP port 1211, a remote attacker could overflow a buffer and execute arbitrary code on the system or cause the application to crash.References: [XFDB-82254], [CVE-2012-4706], [BID-58032]",SG
2,1211,"tcp,udp",groove-dpp,Groove DPP,IANA
1,1212,tcp,trojan,Kaos trojanTrojan-PSW.Win32.PdPinch.gen / Remote Denial of Service - the malware listens on TCP port 1212. Third-party attackers who can reach infected systems can send a specially crafted junk HTTP request to trigger an access violation and crash.References: [MVID-2021-0358],SG
2,1212,tcp,trojan,[trojan] Kaos,Trojans
3,1212,tcp,Kaos,[trojan] Kaos,SANS
4,1212,"tcp,udp",lupa,lupa,IANA
1,1213,"tcp,udp",mpc-lifenet,"Medtronic/Physio-Control LIFENET, modified: 2014-02-14",IANA
1,1214,tcp,Kazaa,"Kazaa - peer-to-peer file sharing, some known vulnerabilities, and at least one worm (Benjamin) targeting it.FastTrack, Apple iMesh also uses port 1214 (TCP/UDP).iMesh is vulnerable to a buffer overflow. By connecting to the TCP port 1214 that iMesh listens on and sending a long string of data, a remote attacker can overflow a buffer and execute arbitrary code on the vulnerable system.References: [BID-1576], [CVE-2000-0706], [OSVDB-1513], [XFDB-4829]File-sharing application Morpheus contains a security vulnerability that allows remote users to obtain the Morpheus username of other users by establishing a telnet connection to port 1214 of a machine running Morpheus.",SG
2,1214,tcp,,Kazaa (official),Wikipedia
3,1214,"tcp,udp",kazaa,KAZAA file sharing app,SANS
4,1214,"tcp,udp",Morpheous,Morpheous file sharing app,SANS
5,1214,"tcp,udp",Grokster,Grokster file sharing app,SANS
